Ticker,Excess_Ret_Mean,Excess_Ret_Std,HP_Mean,HP_Std,Prob_HP_Pos,|Q_Comm|_Mean,|Q_NonComm|_Mean,PT_Comm_Mean,PT_NonComm_Mean
CC,0.034946577849150055,0.3047229161245912,0.14874116301550983,0.16508234838092495,0.7753246753246753,2.5538538744057027,2.2692609535662145,0.03397004796604761,0.08172737283416955
CL,0.1111712914285217,0.3645636203402815,0.09510871337621336,0.08624971617033238,0.8701298701298701,1.1617787965308937,1.1259156071132363,0.02771099737616885,0.05145132837501209
CT,0.08392760938287651,0.3311861556151462,0.14345345044968047,0.20232758969081582,0.7545454545454545,3.802048645692802,3.2686265570403426,0.04744381147062144,0.07873566314018912
GC,0.10549697150700318,0.18450113874498644,0.38969385842495885,0.12876541529976274,1.0,3.734175999114676,3.3292063889345505,0.05035203795183857,0.06811766064970973
GF,0.053560348186878624,0.17295475914775418,-0.09143931921983578,0.089675768480186,0.16472114137483787,1.8147565961160321,2.7397347251434483,0.060301088459266114,0.07151562295499334
HE,0.08115813746886674,0.3432406411159298,0.02346495546635649,0.12428679694274992,0.5914396887159533,2.1584932581781135,2.162751323465729,0.03741089322340941,0.07003002807707788
HG,0.13764299066980046,0.27032295156407393,0.014177579273885056,0.19178993299516767,0.5,3.0276398832095888,2.6880490055304316,0.04476389740688081,0.07676201757764481
HO,0.11700742140155047,0.3411496114421053,0.07483728013470087,0.0777613368044822,0.8103896103896104,2.2417647883880725,1.6700015479760795,0.03866041717456684,0.08572186753222687
KC,0.09743881796734699,0.3271406758238333,0.10719134599361116,0.14579759994155497,0.6935064935064935,2.961454653915223,2.7847258633076666,0.03952088855503646,0.07636835289220366
KE,0.05711724996433166,0.30894436865994035,0.09212056240669105,0.14481334115245945,0.7211413748378729,2.5763118773388145,2.3753408207681344,0.04080665367451223,0.07357260949136012
LB,0.11034571400617522,0.35532970035295536,0.08434828797178923,0.2166897562979426,0.590612777053455,4.531513805547603,4.146281631268366,0.10894371617034852,0.09199551503690738
LE,0.046080064199577164,0.18589579659487604,0.06652109053614405,0.11376672971102027,0.6701434159061278,1.5910225796545392,1.8693171774811144,0.02748619919526439,0.05355213210856468
NG,0.0813801480826557,0.5134339218733643,-0.06327300049361649,0.09178766113769413,0.2805194805194805,1.0789076989469564,0.9866738305057893,0.030418170086020234,0.05125097389190487
OJ,0.09183213900240704,0.3624162713277104,0.27338988001496006,0.2294043535755508,0.8831168831168831,4.3950809409925,3.763062415617628,0.05703743869368261,0.09274529237502492
PA,0.17977470548380553,0.3801953196060349,0.5360505353173542,0.18362997960108907,0.9842857142857143,4.444677721377098,3.7333698883067994,0.06178905791865003,0.062324881164047836
PL,0.07092042092009887,0.26727393889347734,0.5706498498144994,0.15354352530981108,1.0,5.3952317693694445,4.795271234859061,0.06724507858738792,0.08417324515192502
RR,0.1087578549603006,0.2705632191007806,0.12314334718164129,0.2621960219233089,0.6371911573472041,3.776189887595576,2.8769482783799916,0.05700762959120029,0.08883929375098416
SB,0.1048045490468353,0.3456961064001548,0.15622021144316778,0.13654097258944858,0.8311688311688312,2.6167097061704143,2.009443559369211,0.034806134300458584,0.06669693176580704
SI,0.1384901948734125,0.3303098187798459,0.38183016004645726,0.16033968513526356,1.0,3.10139423908959,2.8685800667664965,0.045714582854694166,0.07436442239815623
ZC,0.07559446644112348,0.3155509976686454,0.04038391822360971,0.11421599844349668,0.6147859922178989,1.9730249010282024,2.022363134773173,0.030804777426595414,0.06087910107425239
ZL,0.06330542892409816,0.253860244535545,0.12340786571447146,0.15170219798052825,0.7600518806744487,3.3502147383149574,2.716969009723791,0.0425389794511114,0.08837456905446685
ZM,0.09749526599721015,0.33345953025116304,0.19460141478567985,0.1423810347018004,0.875,3.118733845869457,2.490140855076136,0.04107867635115139,0.08742468101089088
ZO,0.09033421635060858,0.3992221396050577,0.2770065525831436,0.20080582354517085,0.893644617380026,4.224560194098906,3.3070842385760426,0.06644097365107424,0.11941610613126025
ZS,0.0714998653477938,0.2743730053639631,0.07311597358493242,0.15338542111191814,0.6835278858625162,2.5129831974649166,2.3783774231957677,0.039462490047216324,0.07326752920498998
ZW,0.07168670411441112,0.33245244297063564,-0.07199092347673296,0.10146300920472691,0.19714656290531776,2.2968044117074,2.2530068899512306,0.04059810585741242,0.057478067306841005
AVERAGE,0.09127076614307357,0.3147503716761141,0.1505101901027709,0.15073608064508826,0.7112957402905067,2.977573120404699,2.6652200970678575,0.04689250973762465,0.07547141059802442
