Period,Q1_Return,Q2_Return,Q3_Return,Q4_Return,Q5_Return,LS_Return,LS_tstat,N_obs
-10to0,0.027796798701611697,0.01220318342287425,0.0023780886250744132,-0.010380498367854908,-0.02381480140723174,-0.051611600108843435,-50.89688740976838,770
1to4,0.0008107074493435505,0.0011926004250362933,0.000947303078942881,0.0009811712751142147,0.0012406330059267611,0.00042992555658321084,0.7106353091478392,770
5to10,0.0016506910360887623,0.0008111105362795549,0.0014970764702954768,0.0018736100920703003,0.00213298498854846,0.0004822939524596979,0.5388482458213751,769
11to20,0.0003790737774382595,0.0016422700491201703,0.0015850730448595095,0.0009435570010551886,0.00224039421916249,0.0018613204417242298,1.8842957562065927,768
21to40,0.003198051540069708,0.0026617695825071662,0.005194576074319268,0.0057638274281646825,0.007046245009163588,0.003848193469093879,2.420249463315497,767
1to40,0.004256861726906769,0.00608682361938691,0.009722155718354176,0.010249211891812372,0.013802149990053638,0.00954528826314687,4.224341222011265,770
