Portfolio,Period,Mean_Return,Std_Return,t_stat,N_obs
LowHP_LowQ,-10to0,0.014857569930056675,0.025683494904195095,16.052364962782274,770
LowHP_LowQ,1to4,0.001023257572482701,0.014782412452708638,1.9208126810670834,770
LowHP_LowQ,5to10,0.0016824245423394848,0.01979986921567836,2.3563317942193294,769
LowHP_LowQ,11to20,0.0019602779442638428,0.02301907075521447,2.3599917008135636,768
LowHP_LowQ,21to40,0.0039031729028878976,0.03920507690292463,2.7572310590082623,767
LowHP_LowQ,1to40,0.007870676636700286,0.05687846526097713,3.839808477811237,770
LowHP_LowQ,week1,0.0006218724124746568,0.020975055060010968,0.822703877335219,770
LowHP_LowQ,week2to4,0.003414368342441502,0.040045822984922486,2.364374776767499,769
LowHP_LowQ,week5to8,0.004730213697908806,0.046285653704805974,2.8284515536548755,766
LowHP_LowQ,week1to8,0.00993158034025918,0.06786137086369902,4.0610757857615765,770
LowHP_HighQ,-10to0,-0.013388906948694053,0.02500836060493939,-14.856115352440147,770
LowHP_HighQ,1to4,0.0010666053499131507,0.014516707390412966,2.0388299155986864,770
LowHP_HighQ,5to10,0.0018054280948380326,0.020607413986675722,2.4295165981491302,769
LowHP_HighQ,11to20,0.0011345102279552834,0.02333567825803258,1.3473133009784788,768
LowHP_HighQ,21to40,0.006193843796212162,0.038460025552286364,4.460138675927261,767
LowHP_HighQ,1to40,0.010335552825161699,0.05655077814807777,5.071547393654162,770
LowHP_HighQ,week1,0.0011049380530654838,0.021839275907943788,1.4039287189259235,770
LowHP_HighQ,week2to4,0.004722269507130319,0.039364249038292,3.326687210061336,769
LowHP_HighQ,week5to8,0.007186887427979895,0.04519538363510448,4.401099122487382,766
LowHP_HighQ,week1to8,0.014256245013328544,0.0645675218536914,6.126837969103749,770
HighHP_LowQ,-10to0,0.0166127570789373,0.025516263649926256,17.782550366694764,746
HighHP_LowQ,1to4,0.0008371665309834293,0.015511571008562536,1.4740950431917248,746
HighHP_LowQ,5to10,0.0013071423751579616,0.02116627321550427,1.6856081892858237,745
HighHP_LowQ,11to20,0.0004314625776539419,0.024214009028818786,0.4860298038619656,744
HighHP_LowQ,21to40,0.00206934759308502,0.04138563721645538,1.3629446106079584,743
HighHP_LowQ,1to40,0.003949387102900645,0.05826471641036245,1.8513711012176024,746
HighHP_LowQ,week1,0.0004259597608681999,0.02185713525136778,0.5322856383750137,746
HighHP_LowQ,week2to4,0.0011960270730445488,0.04134987852463172,0.7894868646795274,745
HighHP_LowQ,week5to8,0.005727928234296338,0.04944434323484906,3.15560698052231,742
HighHP_LowQ,week1to8,0.007519663266430648,0.07181656009045448,2.8598496893294225,746
HighHP_HighQ,-10to0,-0.013258634511642275,0.02709086123341019,-13.36735251126283,746
HighHP_HighQ,1to4,0.0011823933319806,0.01566044738361706,2.0621830881519667,746
HighHP_HighQ,5to10,0.0016067866978684748,0.021133524880282847,2.075221339309829,745
HighHP_HighQ,11to20,0.0019779253388608033,0.025429495129215628,2.1215761474921586,744
HighHP_HighQ,21to40,0.007428676801581669,0.04042378640413971,5.0092058648579725,743
HighHP_HighQ,1to40,0.01407654080095191,0.06027186159972631,6.3789728188272266,746
HighHP_HighQ,week1,0.001796531460518071,0.02291247939726207,2.141569401979113,746
HighHP_HighQ,week2to4,0.007526061971006623,0.04342112234866615,4.730912127983664,745
HighHP_HighQ,week5to8,0.005461485052587751,0.049064336655327126,3.032122690472996,742
HighHP_HighQ,week1to8,0.01611379588033854,0.07238549628549558,6.080169904317969,746
