,Open_Interest_All,NonComm_Positions_Long_All,NonComm_Positions_Short_All,Comm_Positions_Long_All,Comm_Positions_Short_All,CFTC_Contract_Market_Code,Market_and_Exchange_Names,PL_Close,HP,NetLong_Comm,Q_Comm,NetLong_NonComm,Q_NonComm,PT_Comm,PT_NonComm,Ret,Ret_Lead,HP_Smooth_52w
2014-02-11,63300,43186,10788,12703,47858,076651,PLATINUM - NEW YORK MERCANTILE EXCHANGE ,1386.199951171875,0.5553712480252765,-35155,1.3048152733433245,32398,-1.4954062683260572,0.014811512359439243,0.0701819394523289,0.010497085457936262,0.026475309865046315,0.5244979579889046
2014-02-18,63376,43167,9709,12468,49104,076651,PLATINUM - NEW YORK MERCANTILE EXCHANGE ,1422.9000244140625,0.5780737187578894,-36636,-2.339652448657188,33458,1.6745655608214849,0.024053141038134218,0.020765564717452153,0.026475309865046315,0.01321240173957694,0.5208413006782302
2014-02-25,64653,44577,9501,12411,50834,076651,PLATINUM - NEW YORK MERCANTILE EXCHANGE ,1441.699951171875,0.5942957016689094,-38423,-2.8196793738954806,35076,2.553016914920475,0.0282551980393707,0.029919745552720145,0.01321240173957694,0.015121072044432582,0.5184868793086019
2014-03-04,66158,46946,7299,12537,55268,076651,PLATINUM - NEW YORK MERCANTILE EXCHANGE ,1463.5,0.6458931648477886,-42731,-6.663263885666558,39647,7.070050887043138,0.06725167760489639,0.08426583095216149,0.015121072044432582,0.0003416467372736598,0.5176610888522644
2014-03-11,69748,50564,5844,12026,60864,076651,PLATINUM - NEW YORK MERCANTILE EXCHANGE ,1464.0,0.7002064575328325,-48838,-9.230932011245805,44720,7.668006892590465,0.08378378378378379,0.08993405190753084,0.0003416467372736598,-0.0019126016585553351,0.5181506524388222
2014-03-18,71251,52090,7257,12076,60777,076651,PLATINUM - NEW YORK MERCANTILE EXCHANGE ,1461.199951171875,0.6835132138496302,-48701,0.19642140276423697,44833,0.1620118139588232,0.0018804990872029977,0.049522301043018184,-0.0019126016585553351,-0.027922206488640522,0.5195949077526806
2014-03-25,69810,50720,6326,12721,60627,076651,PLATINUM - NEW YORK MERCANTILE EXCHANGE ,1420.4000244140625,0.6862340638876951,-47906,1.1157738137008604,44394,-0.6161317034146889,0.010838741342640562,0.04033586929846089,-0.027922206488640522,0.005350588183123062,0.5210875363828623
2014-04-01,66562,49474,8626,12044,54917,076651,PLATINUM - NEW YORK MERCANTILE EXCHANGE ,1428.0,0.6441062468074877,-42873,7.209568829680562,40848,-5.0795015040825096,0.09538388016905362,0.06103270223752152,0.005350588183123062,0.008263339515493628,0.5208527316182916
2014-04-08,66928,50572,7312,11006,56785,076651,PLATINUM - NEW YORK MERCANTILE EXCHANGE ,1439.800048828125,0.6840037054745398,-45779,-4.365854391394489,43260,3.6236891920314895,0.04286704724815978,0.04166954598852878,0.008263339515493628,0.00298647493539983,0.523067880535296
2014-04-15,67064,51034,6787,10592,57463,076651,PLATINUM - NEW YORK MERCANTILE EXCHANGE ,1444.0999755859375,0.6988995586305619,-46871,-1.6316041118814246,44247,1.4747191011235954,0.016045845272206302,0.017069922692447382,0.00298647493539983,-0.030815041030621382,0.5266929460572918
