,Open_Interest_All,NonComm_Positions_Long_All,NonComm_Positions_Short_All,Comm_Positions_Long_All,Comm_Positions_Short_All,CFTC_Contract_Market_Code,Market_and_Exchange_Names,HO_Close,HP,NetLong_Comm,Q_Comm,NetLong_NonComm,Q_NonComm,PT_Comm,PT_NonComm,Ret,Ret_Lead,HP_Smooth_52w
2003-07-29,130487,20700,5406,72067,99382,022651,"NO. 2 HEATING OIL, N.Y. HARBOR - NEW YORK MERCANTILE EXCHANGE ",0.777899980545044,0.20933119774383654,-27315,1.228621758423083,15294,-1.6619469158100506,0.030347216956646,0.12326668198881484,0.028424103286561087,0.0879290745319361,0.13035956486015132
2003-08-05,148329,39074,8344,66949,115834,022651,"NO. 2 HEATING OIL, N.Y. HARBOR - NEW YORK MERCANTILE EXCHANGE ",0.8463000059127808,0.3295714256820986,-48885,-16.53038233693778,30730,11.829530911125246,0.11800878637510052,0.44944957611033787,0.0879290745319361,-0.014415689255204645,0.13699996022088287
2003-08-12,151927,37730,6517,72563,119567,022651,"NO. 2 HEATING OIL, N.Y. HARBOR - NEW YORK MERCANTILE EXCHANGE ",0.8341000080108643,0.3093854285281747,-47004,1.268126934045264,31213,0.32562749024128795,0.04864935200124915,0.07166587565258661,-0.014415689255204645,-0.05071332631502523,0.1425607817791826
2003-08-19,145162,24492,3932,76810,111668,022651,"NO. 2 HEATING OIL, N.Y. HARBOR - NEW YORK MERCANTILE EXCHANGE ",0.7918000221252441,0.240131714911616,-34858,7.994628999453685,20560,-7.011920198516393,0.06444253440719871,0.5566774556712637,-0.05071332631502523,0.04622378464642196,0.14560987343957116
2003-08-26,146659,28388,3096,75931,113609,022651,"NO. 2 HEATING OIL, N.Y. HARBOR - NEW YORK MERCANTILE EXCHANGE ",0.8284000158309937,0.2569088838734752,-37678,-1.942657169231617,25292,3.2598062853914938,0.014878125989237101,0.1502985643501461,0.04622378464642196,-0.06941091703226432,0.14898257072544707
2003-09-02,140533,23129,5780,77809,103537,022651,"NO. 2 HEATING OIL, N.Y. HARBOR - NEW YORK MERCANTILE EXCHANGE ",0.7709000110626221,0.18307443803234827,-25728,8.148153198917216,17349,-5.415964925439284,0.06589613225546745,0.27475872565637,-0.06941091703226432,-0.004150985235614968,0.1499852727050618
2003-09-09,141190,13856,6655,86494,98818,022651,"NO. 2 HEATING OIL, N.Y. HARBOR - NEW YORK MERCANTILE EXCHANGE ",0.7677000164985657,0.08728663503080955,-12324,9.537973287412921,7201,-7.221079746394085,0.07233206700051804,0.4947589098532495,-0.004150985235614968,-0.042855327177628855,0.14819388305722603
2003-09-16,152195,14412,11144,90215,97658,022651,"NO. 2 HEATING OIL, N.Y. HARBOR - NEW YORK MERCANTILE EXCHANGE ",0.7347999811172485,0.04890436610926772,-7443,3.457043699978752,3268,-2.785608045895602,0.025980316490395106,0.19740961026764753,-0.042855327177628855,-0.0360642179226337,0.14543584091978273
2003-09-23,159272,12912,16279,103849,100057,022651,"NO. 2 HEATING OIL, N.Y. HARBOR - NEW YORK MERCANTILE EXCHANGE ",0.708299994468689,-0.023808327891908183,3792,7.3819770688918815,-3367,-4.359538749630408,0.07862936843447471,0.2272960844095783,-0.0360642179226337,0.09812230640944741,0.14086167419514242
2003-09-30,158069,13095,20216,106999,102615,022651,"NO. 2 HEATING OIL, N.Y. HARBOR - NEW YORK MERCANTILE EXCHANGE ",0.7778000235557556,-0.02773472344355946,4384,0.3716911949369632,-7121,-2.3569742327590535,0.02723100556260555,0.12368286752123923,0.09812230640944741,0.05309847969844239,0.1364249268888608
2003-10-07,152929,11338,11252,97654,104596,022651,"NO. 2 HEATING OIL, N.Y. HARBOR - NEW YORK MERCANTILE EXCHANGE ",0.819100022315979,0.04539361403004009,-6942,-7.165225312996223,86,4.559401274127121,0.056,0.47459052678176183,0.05309847969844239,0.06555972260082044,0.13409079066171153
2003-10-14,168689,35162,14992,82919,120475,022651,"NO. 2 HEATING OIL, N.Y. HARBOR - NEW YORK MERCANTILE EXCHANGE ",0.8727999925613403,0.2226345523418836,-37556,-20.018439929640554,20170,13.132891734072674,0.15051574776050425,0.5495872712046895,0.06555972260082044,-0.05373507647327891,0.13630438470371584
2003-10-21,165271,29915,13119,84446,115639,022651,"NO. 2 HEATING OIL, N.Y. HARBOR - NEW YORK MERCANTILE EXCHANGE ",0.8259000182151794,0.18873849616690164,-31193,3.772030185726396,16796,-2.0001304175138865,0.03180148436914312,0.16545057396477203,-0.05373507647327891,-0.031722963910359114,0.13758326547111063
2003-10-28,144159,19050,9925,81091,99859,022651,"NO. 2 HEATING OIL, N.Y. HARBOR - NEW YORK MERCANTILE EXCHANGE ",0.7997000217437744,0.13018958233617048,-18768,7.517955358169309,9125,-4.641467650101954,0.10574744404531639,0.4852113891285591,-0.031722963910359114,-0.026384948951831855,0.13740722539646918
2003-11-04,134321,7913,9672,88640,87953,022651,"NO. 2 HEATING OIL, N.Y. HARBOR - NEW YORK MERCANTILE EXCHANGE ",0.7785999774932861,-0.0051146135004950825,687,13.49551536844734,-1759,-7.549996878446715,0.11016857972852831,0.6477111174296275,-0.026384948951831855,0.08412538257670299,0.13409276402677237
2003-11-11,144013,15047,13120,89634,99054,022651,"NO. 2 HEATING OIL, N.Y. HARBOR - NEW YORK MERCANTILE EXCHANGE ",0.8440999984741211,0.06541076152847312,-9420,-7.5245121760558655,1927,2.744172541895906,0.06410052573560587,0.37568786168211027,0.08412538257670299,0.06527665424250051,0.13253180942453827
2003-11-18,153280,21915,16980,84811,101318,022651,"NO. 2 HEATING OIL, N.Y. HARBOR - NEW YORK MERCANTILE EXCHANGE ",0.8992000222206116,0.10769180584551148,-16507,-4.921083513293939,4935,2.088700325665044,0.038075743167373166,0.2758195140763594,0.06527665424250051,-0.08941286443463448,0.13197980934500433
2003-11-25,142768,19846,15937,82189,95599,022651,"NO. 2 HEATING OIL, N.Y. HARBOR - NEW YORK MERCANTILE EXCHANGE ",0.8187999725341797,0.09392861145354701,-13410,2.0204853862212944,3909,-0.6693632567849687,0.04691542736292663,0.08696867227454377,-0.08941286443463448,0.05349298662666224,0.13115260939084222
2003-12-02,140458,19124,16762,79092,95291,022651,"NO. 2 HEATING OIL, N.Y. HARBOR - NEW YORK MERCANTILE EXCHANGE ",0.8626000285148621,0.11532984949237494,-16199,-1.9535189958534125,2362,-1.0835761515185476,0.019525985904589323,0.043108733210722845,0.05349298662666224,0.02782284748363173,0.1308159549249174
2003-12-09,147641,25472,16722,80599,101464,022651,"NO. 2 HEATING OIL, N.Y. HARBOR - NEW YORK MERCANTILE EXCHANGE ",0.8866000175476074,0.1413225323588976,-20865,-3.3219894915205965,8750,4.547978755215082,0.04218320032076808,0.15139593307105276,0.02782284748363173,0.03586732622147171,0.13103484195479198
